"","M10","M12","M14","M15","M16","M17","M18","M19","M2","M20","M21","M23","M24","M25","M26","M27","M28","M29","M3","M30","M31","M33","M35","M36","M37","M38","M39","M4","M40","M41","M43","M44","M45","M46","M47","M48","M5","M6","M7","M8","M9","P10","P12","P14","P15","P16","P17","P18","P19","P2","P20","P21","P23","P24","P25","P26","P27","P28","P29","P3","P30","P31","P33","P35","P36","P37","P38","P39","P4","P40","P41","P43","P44","P45","P46","P47","P48","P5","P6","P7","P8","P9"
"13.26172414",0,0,0,0,0,0,0,0,0.69191422,0,0,0.484144398,0.58015267,1.046538167,0,0,0,0,0,0,0.769452603,0,0,0.093671619,0,0,0.391243738,0,0,0,0.630872761,0,0.274015229,0,0,0,0,0,0,0,0.678281769,0.796423765,0.783379228,0,0,0.361456377,0,0,0.628764574,0,0,0,0,0,0,0,0,0,0,0,0.510613133,1.007881036,0.85775923,0.786598237,0.883070445,0.38731189,0.538075036,0.17802029,0,0,0,0.477780293,0.723376606,0.150361468,0.187315932,0.853097346,0,0,0,1.159585879,0,0.779095223
"13.35666667",0,0,0,0,0,0,0,0,0,0,0,0.697478489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988716094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815786248
"13.388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604363223,0,0,0,0,0,0,0,0,0,0.420911212,0,0,0,0,0,0,0,0,0,0,0,0,0.398175393,0,0.08173709,0,0,0,0,0,0,0,0.776431067,0,0,0,0,0,0
"13.86416667",0.492099632,0,0,0,0,0,0,0,1.04104201,0,0,0.655523415,0,0,0,0,0,0.101347537,0,0.631964678,0.636031268,0,0,0.197541568,0.520607229,0,0,0,0.195103762,0.354817404,0,0,0.541406849,0.873070568,0,0,0,0,0,0,0,0,0,0,0,0.264111388,0,0,0,0,0,0,0.253003515,0,0,0,0.563004338,0,0,0,1.016734199,0.983979369,0.465884336,0,0,0,0.61308188,0.146921927,0,0.748975521,0,0,0,0.213836938,0.225349052,0,0,0,0,1.313598811,0,0
"14.05666667",0,0.683749204,0,0,0,0,0,0,0.883032936,0,0,0.681835538,0.294053286,0,0,0,0.236830729,0.306384235,0,0.809561839,0.558152966,0,0,0.332826026,0,0,0.528513479,0,0,0,0,0,0.634103726,0.515076813,0,0,0,0,0,0,0,0,0,0,0,0.313317801,0,0,0,0,0,0,0.688140426,0,0,0,0,0.488601579,0.244306382,0,0.496542314,0,0.220440748,0,0,0,1.230205601,0.148774019,0,0,0,0,0.845327142,0.227630073,0.691231207,0.462404546,0,0,0,0,0,0
"14.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391124362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125422724,0.247731826,0,0,0,0,0,0,0
"14.29833333",0,0,0,0,0,0,0,0,0,0,0,0,0.326708047,0,0,0,0,0.110272518,0,0,0,0.294673754,0,0,0,0,0,0,0,0,0,0,0,0.246051837,0,0.369641607,0,0.507769966,0,0,0,0,0,0,0,0.249062277,0,0,0.463148926,0,0,0,0,0,0,0,0,0,0.155324023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142289624,0.292119429,0,0.138550075,0,0,0,0,0
"14.37",0,0,0,0,0,0,0,0,0,0,0,0,0.293036772,0,0,0,0,0.097737373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452122152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14.52461538",0,0,0,0,0,0,0,0.112951076,0.976269832,0,0,0.690895254,0.439545643,0,0,0,0,0.093923872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204650267,0,0.666239512,0,0,0,0,0,0,0,0.148565605,0,0,0,0,0,0,0.38851731,0,0,0,0,0,0.152156988,0,0,0,0.273184254,0,0,0,0,0,0,0,0,0,0,0.183063865,0.275201902,0,0,0,0,0,0,0
"14.58888889",0,0,0,0,0,0,0,0,0.507086384,0,0,0.344529648,0,0,0,0,0.286049614,0,0,0,0,0,0,0,0,0,0,1.104943427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134330877,0,0,0,0,0,0,0,0,0,0.6871644,0,0,0,0,0,0,0.353216515,0,0.986782418,0,0,0.296713088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14.64409091",0,0,0,0,0,0,0,0,0.914199762,0,0.570694059,0.643718052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295514986,0,0,0,0,0,0,0.155394333,0,0,0,0,0,0,0,0,0,0,0,0.162145158,0,0,0,0,0,0,0.470083476,0,0,0,0,0,0,0,0,0.319263413,0,0,0,0,0,0,0,0,0,0,0,0.110648749,0.193003384,0,0,0,0,0,0,0.589902761
"15.11",0,0,0,0,0,0,0,0.27458998,0,0,0,0,0,0,0,0,0,0,0,0,0.624683114,0,0,0,0,0,0.508590464,0,0,0,0,0,0,0,0,0.457095494,0,0,0,0,0,0,0.475193447,0,0,0.419349306,0,0,0,0,0,0,0,0.467518304,0,0,0,0,0,0,0.487321086,0.779365441,0.726557157,0.565713326,0,0,0.428116581,0.222450599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15.20823529",0,0,0,0,0,0,1.093764607,0,0,0,0,0,0,0,0,0,0,0,0,0.601567489,0.90821184,0,0.502142167,0.224450981,0,0.962981292,0.717364916,0,0,0,0,0,0.265601653,0,0,0,0,0,0,0,0,0,0.614325757,0,0,0,0,0,0,0,0,0.287562621,0,0,0,0,0,0,0,0,0.846858637,1.324499533,0,1.176351163,0.864807238,0,0.730629938,0.439214195,0,0,0,0,0,0,0,0,0,0,0.650837683,0,0,0
