"locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se"
"X11" 11 0.212815622142625 0.131993286211486 0.0206138880516872 11 0.207141343858175 0.12284782728654 0.0191856073271806 11 0.0528565543793469 0.107935251722484 0.016856654301894 11 0.0532049373659998 0.129350408176314 0.0202011398467217 11 0.0263199888870353 0.0798100998726513 0.0124642435338173
"X12" 12 0.176487900427923 0.134037345375222 0.0209331164608108 12 0.228177298214332 0.125663298519012 0.0196253100610451 12 0.049350157330686 0.103860319570156 0.0162202568182241 12 0.061934584013284 0.121738554331692 0.0190123679968608 12 0.0213703680588506 0.0888159220363008 0.0138707166600142
"X13" 13 0.217488865255542 0.119061003608167 0.0185942048277203 13 0.245820047255258 0.135702166459629 0.0211931178324341 13 0.0825746142056066 0.0933504714066151 0.0145788942936458 13 0.0521434023661281 0.117537326274047 0.0183562464065464 13 0.0322705430853813 0.078530504412478 0.0122644042971065
"X14" 14 0.233428948861075 0.114278586378902 0.0178473167381052 14 0.243758018178988 0.129158850950266 0.0201712236341128 14 0.0726926757512569 0.0963935507765602 0.0150541434465758 14 0.049985668863253 0.0980844902408141 0.0153182238238342 14 0.0440408863777888 0.0902716776897208 0.0140980674967994
"X15" 15 0.216132788653067 0.128280937452196 0.0200341165805064 15 0.256095412974515 0.120041872524351 0.0187473908162804 15 0.0629766869793941 0.0999390881329502 0.0156078633534398 15 0.0673981254982371 0.124099633252425 0.0193811065740276 15 0.0372799289389788 0.0819931092509098 0.012805172320658
"X16" 16 0.238279399268464 0.111217713804828 0.0173692887535503 16 0.246987896265609 0.129650281911902 0.0202479722561001 16 0.0632231591379884 0.100426900002494 0.0156840467682003 16 0.0648995129467393 0.105132638561454 0.0164189596614174 16 0.0443233186924516 0.0680404482116072 0.0106261327577936
"X17" 17 0.228031724563953 0.118633459848482 0.0185274337103984 17 0.24965528124394 0.123738747443941 0.0193247456797044 17 0.0823411323920279 0.108575051829767 0.0169565742915052 17 0.0681478473922756 0.115593217001081 0.0180526275478647 17 0.0350799740621227 0.068513172583573 0.0106999599012999
"X18" 18 0.243762363972898 0.0846761323064846 0.013224190124481 18 0.271706719337572 0.11025037396554 0.0172182156518241 18 0.0819132445599456 0.0991280072136064 0.0154811937950698 18 0.0720235782165258 0.0995129479878878 0.0155413114438936 18 0.0360076568160982 0.0733973907618639 0.0114627466280883
"X19" 19 0.259700419394874 0.0942005366489451 0.0147116521803913 19 0.272533207636836 0.0958029403261016 0.0149619055907169 19 0.0845428527386739 0.105589264866388 0.0164902727092362 19 0.0712896322822013 0.103112166225495 0.0161034148959188 19 0.0426886157004993 0.06923199521579 0.0108122211359039
"X20" 20 0.252038957062255 0.108266260213163 0.0169083491431003 20 0.280378038198958 0.0995103353309646 0.0155409034154334 20 0.0850866921617125 0.0972033867474053 0.0151806185766554 20 0.0676239097936164 0.0950913037915691 0.0148507666360216 20 0.0582314783488385 0.0718732530259111 0.0112247163042282
"X21" 21 0.257406360715665 0.0803886222757187 0.0125545935538412 21 0.297559255704474 0.101496483182793 0.0158510875971204 21 0.0760563187753873 0.090279480051927 0.0140992860210568 21 0.0753597561987664 0.0996859326368965 0.0155683271072783 21 0.0640251610825381 0.0627182894548637 0.00979495120338456
