Volatile,Av.Abund,Av.Sim,Contrib%,Cum.%
8.188333333,1.27,3.27,5.65,62.06
8.062727273,1.21,3.13,5.42,67.48
8.860384615,1.17,3.13,5.41,72.89
12.9677027,1.12,3.11,5.38,78.27
30.52666667,1.12,2.73,4.72,82.99
36.88736842,0.65,1.81,3.12,86.11
19.66487179,0.81,1.44,2.5,88.61
21.5754717,0.62,1.42,2.46,91.07
19.72264368,3.3,9.58,15.72,15.72
31.4190566,2.64,7.85,12.88,28.6
26.78810811,2.45,5.77,9.46,38.06
19.52512821,1.46,3.96,6.5,44.57
21.35028571,1.13,3.33,5.46,50.02
19.40104478,1.27,3.24,5.32,55.34
21.40527778,1.14,3.22,5.29,60.63
12.9677027,0.9,2.65,4.34,64.97
30.79641026,0.86,2.52,4.13,69.1
24.42878378,0.87,2.38,3.91,73.01
10.1842623,0.83,2.2,3.62,76.62
9.757314815,0.76,1.94,3.18,79.81
8.958333333,0.81,1.75,2.87,82.68
8.795652174,1.11,1.55,2.54,85.21
22.77,0.57,1.55,2.54,87.75
15.50897436,0.57,1.49,2.44,90.19
19.72264368,2.93,6.31,12.19,12.19
19.40104478,2.32,4.27,8.25,20.44
19.52512821,1.38,2.85,5.5,25.94
12.9677027,1.48,2.81,5.43,31.37
10.1842623,1.52,2.7,5.22,36.6
26.78810811,1.3,2.31,4.46,41.05
21.49741935,1.09,2.3,4.45,45.5
21.35028571,0.97,2.02,3.91,49.4
21.40527778,0.94,1.98,3.83,53.24
9.701666667,0.94,1.9,3.67,56.9
30.79641026,0.9,1.82,3.52,60.42
33.6159434,1.03,1.73,3.35,63.77
13.79688889,0.74,1.59,3.07,66.84
24.42878378,1.02,1.52,2.93,69.77
15.50897436,0.85,1.48,2.85,72.62
21.12938462,0.75,1.35,2.61,75.24
10.75428571,0.69,1.24,2.39,77.63
16.71588235,1.01,1.22,2.36,79.98
13.36,0.61,1.2,2.32,82.3
15.74189873,0.62,1.06,2.05,84.36
11.0476087,0.83,0.97,1.88,86.24
19.62022727,0.62,0.95,1.84,88.08
22.77,0.45,0.95,1.84,89.91
13.26114286,0.48,0.94,1.82,91.74
35.83032258,3.21,6.68,9.1,9.1
15.4573494,2.31,4.93,6.72,15.83
19.40104478,1.78,3.07,4.19,20.01
12.9677027,1.44,2.93,4,24.01
37.57885714,1.39,2.83,3.86,27.87
16.39651163,1.3,2.67,3.64,31.51
31.4190566,1.52,2.62,3.58,35.09
8.860384615,1.34,2.58,3.52,38.61
19.72264368,1.05,2.14,2.91,41.52
10.1842623,0.82,1.63,2.23,43.75
36.88736842,0.82,1.51,2.06,45.81
15.5952,0.71,1.43,1.94,47.75
11.815,0.71,1.42,1.93,49.68
30.52666667,0.66,1.33,1.81,51.49
16.28636364,0.73,1.29,1.75,53.25
30.81736842,0.6,1.28,1.75,54.99
16.46627907,0.59,1.25,1.7,56.69
14.6987037,0.59,1.24,1.69,58.38
15.2085,0.6,1.06,1.44,59.82
17.62483871,0.51,1.06,1.44,61.26
9.757314815,0.5,1.05,1.43,62.69
8.454615385,0.81,1.05,1.43,64.13
11.285,0.49,1.03,1.41,65.53
20.80285714,0.56,1.03,1.41,66.94
36.13555556,0.81,1.02,1.39,68.33
8.525,0.5,1.01,1.38,69.71
15.74189873,0.54,1,1.36,71.07
17.39323529,0.53,0.98,1.33,72.4
26.78810811,0.52,0.96,1.31,73.71
16.71588235,0.45,0.93,1.27,74.98
21.12938462,0.51,0.93,1.26,76.25
13.26114286,0.45,0.87,1.19,77.43
20.51714286,0.44,0.86,1.17,78.6
19.21025,0.44,0.85,1.17,79.77
19.66487179,0.39,0.83,1.13,80.9
13.79688889,0.39,0.79,1.07,81.97
17.08909091,0.46,0.77,1.05,83.02
13.73048387,0.37,0.76,1.03,84.05
12.66733333,0.33,0.7,0.96,85.01
19.62022727,0.37,0.7,0.96,85.97
13.86263158,0.41,0.7,0.95,86.92
15.11,0.34,0.68,0.93,87.85
16.975,0.33,0.68,0.93,88.77
18.90958333,0.39,0.67,0.91,89.69
15.37578947,0.33,0.64,0.88,90.56
31.4190566,3.35,8.65,14.46,14.46
26.78810811,2.95,6.49,10.86,25.32
19.72264368,2.05,5.19,8.68,34
33.6159434,1.42,3.87,6.47,40.47
38.48852941,1.31,3.38,5.66,46.13
36.07631579,1.16,3.12,5.21,51.34
30.79641026,1.39,2.39,4,55.35
8.860384615,0.89,2.26,3.78,59.13
21.35028571,0.81,2.15,3.6,62.73
21.40527778,0.75,2.01,3.37,66.1
24.42878378,0.7,1.86,3.11,69.21
22.77,0.68,1.84,3.08,72.29
17.62483871,0.55,1.16,1.93,74.23
17.39323529,0.61,1.06,1.76,75.99
19.86129032,0.49,1.05,1.76,77.75
11.285,0.45,1.03,1.72,79.46
21.21318182,0.37,1.01,1.69,81.15
13.73048387,0.4,0.97,1.63,82.78
21.09315789,0.58,0.96,1.6,84.39
8.958333333,0.49,0.91,1.53,85.92
21.49741935,0.36,0.88,1.47,87.38
20.36305556,0.29,0.8,1.33,88.71
21.70509091,0.47,0.73,1.22,89.93
18.005,0.42,0.66,1.11,91.04
15.4573494,2.5,4.9,7.36,7.36
26.78810811,2.27,3.65,5.48,12.84
31.4190566,1.94,3.64,5.46,18.31
16.39651163,1.82,3.63,5.45,23.75
19.40104478,1.71,3.36,5.05,28.8
19.72264368,1.62,3.14,4.71,33.51
12.9677027,1.54,2.84,4.27,37.78
8.902068966,1.42,2.64,3.96,41.74
10.1842623,1.16,2.35,3.53,45.27
15.5952,1.03,2.07,3.11,48.38
19.52512821,1.01,1.88,2.82,51.2
16.46627907,0.87,1.86,2.79,53.99
13.79688889,1.25,1.81,2.72,56.71
9.757314815,0.91,1.73,2.6,59.31
14.6987037,0.81,1.68,2.53,61.84
18.90958333,1,1.68,2.52,64.35
15.74189873,1.21,1.63,2.46,66.81
19.66487179,0.78,1.58,2.37,69.18
16.71588235,0.73,1.57,2.36,71.54
17.62483871,0.79,1.47,2.21,73.75
17.08909091,0.76,1.44,2.17,75.92
37.57885714,0.89,1.42,2.13,78.04
16.28636364,0.7,1.41,2.12,80.17
21.5754717,0.65,1.4,2.1,82.27
13.73048387,0.68,1.36,2.05,84.32
20.51714286,0.8,1.35,2.02,86.34
12.66733333,0.72,1.26,1.89,88.23
33.645,0.8,1.26,1.89,90.12
19.72264368,3.46,8.32,12.03,12.03
19.52512821,1.79,4.31,6.23,18.25
31.4190566,2.07,4.28,6.19,24.44
21.40527778,1.47,3.66,5.29,29.74
26.78810811,2.06,3.65,5.28,35.01
33.6159434,1.49,3.6,5.2,40.22
38.48852941,1.5,3.59,5.19,45.41
21.35028571,1.4,3.56,5.15,50.55
36.07631579,1.32,3.13,4.53,55.08
22.77,1.18,2.81,4.06,59.14
36.8526087,1.12,2.64,3.81,62.95
30.79641026,1.08,2.6,3.75,66.7
24.42878378,1.05,2.43,3.51,70.21
37.04571429,0.77,1.83,2.65,72.86
19.62022727,0.77,1.7,2.46,75.32
8.860384615,0.87,1.23,1.78,77.1
34.26733333,0.49,1.11,1.6,78.7
24.67055556,0.53,1.09,1.57,80.28
22.9775,0.42,1.02,1.48,81.76
21.21318182,0.39,0.92,1.32,83.08
21.49741935,0.4,0.92,1.32,84.41
21.70509091,0.45,0.91,1.32,85.73
19.97275862,0.45,0.81,1.17,86.9
27.68736842,0.35,0.77,1.11,88.01
22.5524,0.31,0.7,1.01,89.02
13.73048387,0.27,0.66,0.95,89.97
20.36305556,0.3,0.63,0.91,90.88
26.78810811,2.66,5.33,16.01,16.01
15.4573494,1.42,2.34,7.01,23.03
36.07631579,0.99,2.31,6.93,29.95
19.72264368,1.24,2.23,6.71,36.66
24.42878378,0.91,2,6.01,42.67
20.51714286,0.74,1.53,4.6,47.27
21.5754717,0.66,1.29,3.87,51.14
20.80285714,0.78,1.26,3.79,54.93
19.21025,0.64,1.15,3.44,58.37
19.66487179,0.57,1.04,3.12,61.49
37.04571429,0.52,0.99,2.97,64.46
22.72692308,0.52,0.98,2.94,67.4
17.39323529,0.56,0.91,2.74,70.15
21.52222222,0.42,0.91,2.74,72.89
27.68736842,0.4,0.9,2.7,75.59
20.36305556,0.44,0.87,2.61,78.2
21.70509091,0.43,0.86,2.57,80.77
12.39705882,0.37,0.78,2.35,83.11
13.73048387,0.41,0.67,2.02,85.13
22.77,0.4,0.66,1.97,87.1
18.22447368,0.41,0.57,1.71,88.8
16.28636364,0.42,0.57,1.7,90.51
19.72264368,3.25,8.27,15.68,15.68
31.4190566,1.93,4.26,8.08,23.76
19.40104478,2,4.24,8.04,31.8
8.860384615,1.78,3.89,7.37,39.17
19.52512821,1.51,3.83,7.27,46.44
21.35028571,1.08,2.53,4.8,51.24
21.40527778,1.07,2.46,4.66,55.9
33.645,0.9,2.19,4.16,60.05
36.10466667,0.81,1.93,3.67,63.72
12.9677027,0.85,1.7,3.22,66.94
19.62022727,0.63,1.53,2.9,69.83
15.74189873,0.84,1.35,2.56,72.4
17.42294118,0.95,1.35,2.55,74.95
30.51451613,0.62,1.34,2.54,77.49
22.77,0.56,1.28,2.43,79.91
21.49741935,0.61,1.27,2.4,82.32
36.20571429,0.49,1.21,2.3,84.62
21.12938462,0.39,0.98,1.85,86.47
24.42878378,0.87,0.91,1.72,88.19
15.50897436,0.67,0.9,1.71,89.9
21.70509091,0.41,0.78,1.47,91.38
31.4190566,2.05,4.71,13.5,13.5
8.860384615,2.32,4.51,12.93,26.42
26.78810811,1.88,4.36,12.5,38.93
15.4573494,1.35,2.84,8.15,47.08
9.757314815,1.11,2.73,7.83,54.91
19.72264368,1.01,2.31,6.62,61.52
13.79688889,0.62,1.56,4.48,66.01
15.74189873,1.19,1.48,4.25,70.26
24.42878378,0.85,1.25,3.58,73.84
11.285,0.59,1.19,3.42,77.25
17.42294118,1.32,1.11,3.17,80.42
22.5524,0.48,1.04,2.97,83.4
19.66487179,0.51,0.96,2.77,86.16
16.28636364,0.51,0.95,2.71,88.88
10.891,0.4,0.89,2.55,91.43
31.45,3.25,7.81,16.76,16.76
35.83032258,2.38,5.3,11.38,28.14
21.12938462,2.07,3.88,8.33,36.48
19.72264368,1.6,3.5,7.51,43.99
21.40527778,1.02,1.77,3.8,47.8
19.053,0.78,1.67,3.58,51.37
24.42878378,0.67,1.59,3.41,54.79
8.902068966,0.94,1.47,3.16,57.95
21.5754717,0.61,1.42,3.05,61
37.57885714,0.79,1.39,2.98,63.98
20.36305556,0.59,1.38,2.96,66.94
20.48777778,0.57,1.32,2.82,69.76
16.46627907,0.83,1.27,2.74,72.5
36.10466667,0.68,1.12,2.41,74.91
14.6987037,0.44,1.01,2.17,77.08
36.88736842,0.42,0.99,2.13,79.21
15.4573494,0.71,0.89,1.91,81.12
9.701666667,0.41,0.81,1.74,82.86
10.22,0.58,0.7,1.51,84.37
22.9775,0.29,0.6,1.28,85.65
12.66733333,0.3,0.55,1.17,86.82
28.03666667,0.22,0.52,1.11,87.94
21.70509091,0.27,0.52,1.11,89.05
12.215,0.2,0.43,0.93,89.98
30.51451613,0.35,0.43,0.92,90.91
19.72264368,3.14,7.44,16.89,16.89
20.36305556,2.48,6.24,14.17,31.05
