,M33,M43,M23,M36,M37,M5,P10,M2,P25,M17,P26,M10,P9,M31,M48,P35,P17,P31,P36,P29,P19,P27,P6,M35,M6,P45,M40,P15,P33,P39,P48,M45,M29,M18,M44,P2,P38,M15,P12,P20,M7,P24,P43,P41,P16,P37,M4,P3,P8,M30,M26,P7,M39,P21,P4,M28,P18,P47,P5,P46,M27,M46,M20,M47,M16,P30,M38,P40,P28,M24,M3,M19,P44,M25,M41,M14,M8,P23,M21,P14,M9,M12
P3,0.161203491,9.070210285,9.541338876,2.758047316,24.24761613,24.50583344,14.38869466,10.84815017,17.70848974,0.141176742,23.83699838,5.79344369,36.94800075,2.912214492,3.068855829,14.46852316,6.309021852,8.910124691,0.095337664,42.18042877,0.150462903,19.44306008,5.7891216,11.51915804,14.79408684,3.09598775,17.5356485,43.7859461,16.53699605,4.219075479,19.26578093,15.1292332,36.91914353,37.5507256,32.48276657,0.181845852,15.46651357,26.37388725,4.890616842,15.41840378,10.77483252,9.168377471,15.00263792,32.99444508,14.48737697,28.01030335,24.57036344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8,0.25076263,6.774784223,9.962520998,6.349824924,5.378942741,7.060755723,17.99058091,17.88783955,29.60646013,27.22366618,0.195317907,12.49950441,24.4492864,22.64953985,0.163301634,34.88386731,26.61632458,22.62821867,17.98892016,0.171897105,8.675048985,11.84117661,18.88670318,36.81624379,12.99793562,2.384459742,0.107385416,0.209783881,8.801523615,17.68095887,0.231320229,13.67529937,0.176782934,22.51870988,0.250622008,0.304538367,23.92124344,0.286151722,25.84733013,35.77746173,39.049114,0.168500614,11.97675384,13.49688724,3.951578997,10.17669969,0.255506898,0.186917842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30,30.5083277,15.95257049,9.203399581,15.84148828,16.87507541,17.48854314,28.59905798,13.87550737,33.56375544,23.35167287,14.32130561,27.34759976,20.39669505,50.72912677,18.84704853,45.91701038,36.88397324,52.11862852,33.95780774,20.80358953,30.15515366,21.81551966,38.71400607,40.95407745,5.012738326,31.2041929,11.95804715,23.63141234,34.99213537,42.56987853,36.56018391,38.00700437,27.85302683,39.2142258,32.93408046,0.159148626,50.68975947,0.153978201,51.08105392,50.55239759,30.35809381,32.5315677,12.36871137,27.44507759,43.07683145,12.72682543,0.144643179,11.7727391,23.39319697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M26,18.3855547,27.42279652,0.154019623,0.491775143,45.23053305,31.42885919,22.77593189,0.1634926,41.93200484,0.1856719,55.61899581,5.900969224,24.55978257,11.65218782,8.855350291,31.25155538,8.542865983,18.35763637,9.744638873,32.44561299,0.202074032,43.43451701,30.20111781,29.51600207,12.74780372,21.86919745,15.64055228,54.46349975,10.56684291,16.34507262,20.07084423,36.21846222,29.09396827,32.40508194,50.23858654,0.263041051,12.71119318,40.14657745,23.83718378,0.21376826,16.20052815,16.22377707,62.93201201,49.83054025,22.60089168,53.58229753,34.42517105,28.53631951,0.273787405,12.87844401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,7.383273476,28.60917412,4.127785571,19.00731261,34.85700679,24.94381616,25.90283831,9.298727416,56.58919892,34.29062907,38.85716095,30.09766107,34.24330884,34.65913424,16.71129209,37.82058486,18.96353446,36.59422675,18.30017601,19.36645091,5.51199776,55.21508323,26.3222295,46.11664233,23.9960188,16.20207823,21.49462135,40.44425838,6.933441977,20.58336471,6.895492493,49.49969119,19.33967217,44.23919782,25.24748667,0.145233187,36.66375434,19.4399283,50.85013909,20.75604423,27.83259175,5.987708193,30.94396515,40.99269363,16.98546731,43.64237374,18.35578015,24.76851136,17.4916556,24.59062012,32.09880463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M39,30.1591127,14.68820433,7.241171939,21.0919671,9.165320172,18.96183447,19.90022236,15.20309684,22.42570658,21.32692978,6.172868392,27.34435862,13.55993016,35.75582549,28.55609462,47.86494242,40.23524653,48.89476183,31.36201677,20.08683107,27.30468998,15.76893777,29.68481179,31.36226167,4.655382196,31.44361622,7.924681719,14.36404472,37.69259129,40.64133877,33.17616259,33.64973027,26.39599068,36.49526697,12.91070799,0.142240011,55.91376128,0.138095573,38.5256625,43.76436391,28.20405393,40.28239647,5.62168571,18.63134651,44.96506982,4.718690858,0.130539768,17.97256278,21.62891737,61.49744012,6.56636294,15.36809447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21,24.09329733,36.19662158,18.81729087,13.506206,36.60963471,30.59996182,31.69359796,12.61898562,52.2023926,23.27726632,34.06834666,21.55896086,32.69233711,43.26492722,21.24992014,53.28872422,29.17409332,47.74587202,30.64650918,22.74885246,15.70738885,61.87485744,42.96269222,61.74531065,37.98147843,34.48976101,16.24905612,56.88278705,30.02027885,37.11502172,19.44995179,52.55379797,21.41888046,46.30475195,24.24166828,4.10643311,49.25820623,11.57671868,61.04106746,21.78247233,37.45677921,20.12461223,48.16895419,41.1085446,33.5120181,46.8907428,10.89672912,18.95639053,22.50940998,30.49840564,39.31403332,53.2276994,23.53478129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,0.245956657,24.07596519,0.165219026,0.844228435,40.28921353,35.577114,21.79302673,0.176168699,41.84276486,0.20219433,20.0555186,12.59043975,33.90174455,15.240352,14.34749548,17.17852991,0.201145415,10.43397659,0.119739666,17.68242418,0.221799626,28.33779199,0.244059711,36.70732167,0.14687096,2.143737784,14.90235907,32.89048709,0.145213144,5.344795818,0.227224524,19.85602449,18.17818221,32.06230214,25.62544697,0.297479119,10.05202142,29.17903152,3.678431879,0.235968407,0.17453385,0.16631689,24.45510828,39.62479585,3.170218399,22.24924759,26.11516417,19.20537048,0.311297471,12.59752367,27.9445721,26.88686419,9.396010056,22.08750566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M28,7.884564391,20.01250584,0.100012081,10.68450666,24.70299907,26.61819925,2.186463673,0.103922042,24.58789039,12.49818112,16.23233876,20.64613018,15.9145268,8.641106441,8.353390873,16.86137357,5.733681303,6.642259897,4.157821597,17.70308929,6.953622633,17.94133229,4.890991439,14.67032809,3.228103598,9.207346381,13.20510868,18.94747687,6.942436806,13.06994815,10.99782506,25.8402817,25.22022749,18.70129774,22.98777614,0.136840073,6.873010427,19.97034115,10.91977717,4.242139399,5.284492716,4.165846433,13.54182289,25.99601258,10.10475794,21.30227753,18.91586612,18.07551083,0.139692473,7.403261764,21.69790398,23.05565897,8.664924033,15.43753324,14.40532352,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,17.51628309,17.52267323,0.139337122,8.939891253,27.67899343,0.202014828,30.19123708,0.147044898,36.97271588,30.26710121,6.934154796,22.73448216,9.617541466,20.38604092,14.19631085,33.31707117,33.14693188,30.48672303,22.97198823,4.117022661,13.81920842,19.76011812,18.73773761,48.41715574,6.14861078,11.94866942,4.83025004,14.31136031,17.31376532,24.61515452,3.854183853,19.29963732,6.138207599,37.9033097,0.192594317,0.222923333,40.8110278,0.212909185,27.1481761,69.20076217,31.29404675,8.972671252,0.221387603,39.60814485,15.81093155,13.79212806,0.195466074,11.29212116,34.31971934,30.43022504,0.205987751,30.24156469,31.44234349,29.78833791,19.33773823,4.152486967,,,,,,,,,,,,,,,,,,,,,,,,,,
P47,6.70902186,23.31671672,11.83150035,1.929680179,44.99679932,18.00145533,36.44092099,11.52854769,42.31382201,0.13103158,28.61604259,6.414442142,31.1578542,21.98011179,14.64802991,28.76796367,5.915446307,12.98010154,11.6549743,19.25125175,0.138993427,31.05291614,15.77248083,44.01651011,7.763860414,23.9735212,16.21282832,46.60369596,9.971354119,13.76177464,10.48331492,27.21958454,20.47061357,38.65659646,32.08290715,0.165355087,21.86154993,19.11173148,16.69482449,0.144427975,5.382620587,8.325869572,23.4734808,34.42089851,10.71576736,27.17881455,17.91214968,20.36043286,0.169538295,12.02391204,31.32518335,27.39659659,4.696460492,35.17677368,35.87611749,13.7088114,12.02262949,,,,,,,,,,,,,,,,,,,,,,,,,
P5,8.865808985,25.50369922,0.146813171,3.747252289,31.71746054,33.14596727,7.637428614,0.155395722,22.53855133,0.175298867,39.56314359,7.46748441,18.33471564,0.130360849,25.40829027,17.39053814,7.827036295,14.76838201,0.109766379,43.89457589,6.68066531,31.2984252,5.596571023,14.11858521,14.82367034,7.065450047,17.63373334,53.10739207,14.40958551,11.03313585,33.02625766,21.02255081,41.4859857,17.38363311,46.66117179,0.242695662,0.14167371,31.96541478,13.20840943,15.20516521,0.154122296,24.36940647,46.49030826,30.65174062,34.55791743,45.85379501,29.14509983,34.4982481,0.251815097,15.803408,43.72019465,32.89759003,23.55003371,24.48316713,25.74508959,23.05123985,0.193298106,17.75954864,,,,,,,,,,,,,,,,,,,,,,,,
P46,13.63975159,10.38903765,26.6366921,29.80622945,12.08577673,12.95062874,7.304403191,22.38664036,9.401071942,0.118062839,7.204764427,13.18412534,12.40351194,22.65906102,22.09636466,17.88387918,0.11770444,25.65830602,11.18933488,18.00300541,18.05534419,16.41835834,22.98678478,12.08265983,12.34513202,30.46398942,27.79948412,14.93540268,23.20961301,47.47144058,32.91698855,24.73768817,35.92670345,13.72142846,12.00053124,0.145224109,26.68388373,0.140906591,21.72560555,0.128829721,5.915435148,19.25242189,9.413185378,7.490186931,36.85381599,13.57583138,0.133048801,7.792429705,0.148440851,28.17474738,8.792993992,11.75937435,23.13424742,20.04821727,1.40693464,5.680126712,1.20769117,13.20348175,8.77101485,,,,,,,,,,,,,,,,,,,,,,,
M27,18.18735857,35.05725717,1.984169266,5.535241598,55.10026542,43.48079895,13.34036878,0.170031359,37.60591011,5.739613827,34.67733727,23.88114124,34.63062248,15.87460416,6.957478362,32.30017948,10.65915069,16.48905446,9.922216446,24.90699608,6.271950084,38.83612465,30.41346455,30.62650307,9.004616547,27.96913525,21.81639173,40.79169491,11.84671947,30.89158382,19.68351839,43.50299926,37.71257495,30.9538661,52.96587142,0.280389194,13.05206154,40.22245595,17.31716794,6.65413093,18.15836733,4.28042945,51.93767867,62.15601749,19.02044607,51.68822737,36.20520464,26.73627986,0.292632774,22.05752243,65.72338619,27.95798686,13.29985694,32.26844341,41.29913054,29.14817246,6.399608905,28.30324746,38.40984663,13.9483302,,,,,,,,,,,,,,,,,,,,,,
M46,2.226611704,7.587610832,11.00016977,24.98460472,8.87548359,9.320695629,5.178728712,11.14288953,6.762351311,11.51327164,20.49817714,8.35794927,12.02811457,13.63679518,21.04132966,9.803019094,12.25447693,19.51966103,6.477131634,6.228214052,6.666389437,10.13972322,14.16988554,8.85529632,7.240934197,21.22758256,62.00746301,9.699965828,11.27638773,28.67725483,23.5263831,18.5365375,19.50558229,6.983367088,8.677864118,0.10211445,17.12535799,10.72763387,14.49334703,0.093727667,7.327785743,17.95722538,5.06297951,5.257307605,18.97661421,9.701366705,0.095941083,8.902276275,0.103694486,15.39258455,4.764774681,12.78849194,8.934874582,15.10269067,0.885634239,3.4275689,0.793830996,8.851287071,6.338144924,46.74749371,8.314897675,,,,,,,,,,,,,,,,,,,,,
M20,20.14217123,8.177879699,0.133844252,8.677912693,4.673636297,5.036502627,22.61857243,0.140940828,21.85273702,28.86642795,0.151135501,14.71720318,9.257822902,20.75611629,2.576294859,33.71944679,31.61917926,26.28923904,22.27947887,0.136721204,13.13252955,18.16555027,17.73724634,33.84864488,5.928499634,11.32474231,1.396600498,5.299372321,13.29080693,22.13242819,3.659126568,16.83414479,5.885473811,35.95654897,0.182255815,0.20918842,31.17899085,0.20034578,30.47212991,42.63235266,30.00464312,0.134563834,0.207835527,20.23996664,12.75967791,6.458018992,0.184825478,14.03838813,32.13705644,29.25570595,3.466837727,19.56804125,31.86784374,28.37330421,0.212355601,4.011181562,45.00186888,0.1352248,0.18288595,0.121456347,6.016031146,0.0897631,,,,,,,,,,,,,,,,,,,,
