Ind1,Ind2,QG
M2,M10,0.0700
M2,P10,0.0280
M2,M12,0.1918
M2,P12,0.0678
M2,M14,0.0951
M2,P14,0.1102
M2,M16,0.1302
M2,P16,0.1316
M2,M17,0.2573
M2,P17,0.3106
M2,M18,0.1304
M2,P18,0.0729
M2,M20,0.1066
M2,P20,-0.0082
M2,M21,0.1092
M2,P21,0.1338
M2,M23,0.0751
M2,P23,0.1869
M2,M24,-0.0644
M2,P24,-0.0683
M2,M25,0.1738
M2,P25,0.0591
M2,M30,0.2245
M2,P30,0.2799
M2,M31,0.0073
M2,P31,0.0721
M2,M33,0.1501
M2,P33,0.1527
M2,M35,0.1407
M2,P35,0.1329
P2,M3,0.1758
P2,P3,0.2140
P2,M4,0.1697
P2,P4,0.1916
P2,M5,0.0820
P2,P5,0.1158
P2,M9,0.0788
P2,P9,0.2157
P2,M15,0.1339
P2,P15,0.0909
P2,M19,0.0906
P2,P19,0.0601
P2,M26,0.0327
P2,P26,0.1885
P2,M27,0.1174
P2,P27,0.0844
P2,M28,-0.0636
P2,P28,0.3294
P2,M29,0.1767
P2,P29,0.1887
P2,M37,0.0991
P2,P37,0.0626
P2,M40,0.2406
P2,P40,0.2140
P2,M41,0.0360
P2,P41,0.0922
P2,M43,0.1920
P2,P43,0.0260
P2,M44,0.0790
P2,P44,0.0129
P2,M45,0.0699
P2,P45,0.1259
P2,M46,0.1023
P2,P46,0.0991
P2,M47,0.1442
P2,P47,0.2271
P2,M48,-0.0316
P2,P48,0.0210
P2,M6,0.2493
P2,P6,0.1775
P2,M7,0.1207
P2,P7,0.2415
P2,M8,0.3529
P2,P8,0.1684
P2,M10,0.0959
P2,P10,0.1221
P2,M12,0.1751
P2,P12,0.1288
P2,M14,0.1212
P2,P14,0.1310
P2,M16,0.1032
P2,P16,0.0533
P2,M17,0.1723
P2,P17,0.0828
P2,M18,0.0827
P2,P18,0.0694
P2,M20,0.0911
P2,P20,0.1192
P2,M21,0.0172
P2,P21,0.1039
P2,M23,0.1235
P2,P23,0.2175
P2,M24,0.0894
P2,P24,-0.0941
P2,M25,0.3799
P2,P25,0.2146
P2,M30,0.1979
P2,P30,0.3487
P2,M31,0.0564
P2,P31,0.0063
P2,M33,0.0481
P2,P33,0.0875
P2,M35,0.2830
P2,P35,0.2350
M3,P3,0.5014
M3,M4,0.0722
M3,P4,0.1020
M3,M5,0.1690
M3,P5,0.0100
M3,M9,0.1111
M3,P9,0.1720
M3,M15,0.0941
M3,P15,0.1979
M3,M19,0.0148
M3,P19,0.1481
M3,M26,0.0514
M3,P26,0.0641
M3,M27,0.1186
M3,P27,0.0964
M3,M28,0.1989
M3,P28,0.2349
M3,M29,0.2010
M3,P29,0.0484
M3,M37,0.0871
M3,P37,0.2256
M3,M40,0.2240
M3,P40,0.2803
M3,M41,0.0372
M3,P41,0.1246
M3,M43,0.2025
M3,P43,0.0899
M3,M44,-0.0399
M3,P44,0.0241
M3,M45,-0.0016
M3,P45,0.0714
M3,M46,0.1734
M3,P46,0.2206
M3,M47,0.1380
M3,P47,0.0683
M3,M48,0.1934
M3,P48,0.1611
M3,M6,0.1427
M3,P6,0.1513
M3,M7,0.1396
M3,P7,0.0721
M3,M8,0.1335
M3,P8,0.1817
M3,M10,0.1176
M3,P10,0.2161
M3,M12,0.0998
M3,P12,0.0562
M3,M14,0.1796
M3,P14,0.0924
M3,M16,0.2251
M3,P16,0.1371
M3,M17,0.0507
M3,P17,0.0802
M3,M18,0.2545
M3,P18,0.0059
M3,M20,0.2077
M3,P20,0.2001
M3,M21,0.2084
M3,P21,0.2353
M3,M23,0.1710
M3,P23,0.1019
M3,M24,-0.0010
M3,P24,0.0274
M3,M25,0.1637
M3,P25,0.1276
M3,M30,0.1487
M3,P30,0.2523
M3,M31,0.2582
M3,P31,0.0783
M3,M33,0.1471
M3,P33,0.0980
M3,M35,-0.0224
M3,P35,0.0099
P3,M4,0.1562
P3,P4,0.1421
